"","artist_name","Valence","danceability","energy","loudness","speechiness","acousticness","liveness","tempo","track_name","album_name","album_release_year"
"109","Taylor Swift",0.0976,0.733,0.436,-10.489,0.08,0.258,0.157,96.985,"Lavender Haze","Midnights",2022
"110","Taylor Swift",0.0374,0.637,0.398,-8.294,0.0564,0.0573,0.101,108.075,"Maroon","Midnights",2022
"111","Taylor Swift",0.533,0.637,0.643,-6.571,0.0519,0.13,0.142,97.008,"Anti-Hero","Midnights",2022
"112","Taylor Swift",0.193,0.663,0.319,-13.481,0.0375,0.69,0.117,109.957,"Snow On The Beach (feat. Lana Del Rey)","Midnights",2022
"113","Taylor Swift",0.38,0.696,0.396,-10.289,0.0656,0.401,0.125,120.041,"You're On Your Own, Kid","Midnights",2022
"114","Taylor Swift",0.23,0.643,0.363,-11.738,0.0767,0.69,0.115,139.865,"Midnight Rain","Midnights",2022
"115","Taylor Swift",0.106,0.751,0.502,-8.763,0.167,0.2,0.296,108.943,"Question...?","Midnights",2022
"116","Taylor Swift",0.163,0.798,0.277,-11.096,0.39,0.173,0.121,79.846,"Vigilante Shit","Midnights",2022
"117","Taylor Swift",0.433,0.696,0.559,-9.19,0.0693,0.0618,0.0887,163.999,"Bejeweled","Midnights",2022
"118","Taylor Swift",0.122,0.406,0.306,-15.48,0.0517,0.785,0.122,110.014,"Labyrinth","Midnights",2022
"119","Taylor Swift",0.0969,0.642,0.62,-7.091,0.0666,0.0734,0.483,90.02,"Karma","Midnights",2022
"120","Taylor Swift",0.39,0.337,0.156,-14.919,0.0518,0.964,0.115,176.655,"Sweet Nothing","Midnights",2022
"121","Taylor Swift",0.124,0.662,0.357,-14.064,0.154,0.553,0.0837,125.966,"Mastermind","Midnights",2022
"122","Taylor Swift",0.328,0.594,0.713,-5.314,0.0503,0.000328,0.114,129.958,"State Of Grace (Taylor's Version)","Red (Taylor's Version)",2021
"123","Taylor Swift",0.408,0.516,0.777,-4.908,0.0375,0.00108,0.0761,125.047,"Red (Taylor's Version)","Red (Taylor's Version)",2021
"124","Taylor Swift",0.299,0.645,0.593,-6.506,0.0288,0.0344,0.13,109.984,"Treacherous (Taylor's Version)","Red (Taylor's Version)",2021
"125","Taylor Swift",0.767,0.584,0.557,-6.371,0.0342,0.0129,0.0576,154.008,"I Knew You Were Trouble (Taylor's Version)","Red (Taylor's Version)",2021
"126","Taylor Swift",0.132,0.44,0.528,-7.809,0.0317,0.0171,0.234,185.972,"All Too Well (Taylor's Version)","Red (Taylor's Version)",2021
